question,intent,response
hi,greeting,"Hello! Welcome to the College AI Helpdesk. How can I assist you today?"
hello,greeting,"Hi there! How can I help you with your college queries?"
hey,greeting,"Hey! Feel free to ask any question about admissions, courses, fees, or placements."
good morning,greeting,"Good morning! How can I assist you today?"
good evening,greeting,"Good evening! What information are you looking for?"
is anyone there,greeting,"Hello! I am the College AI Assistant. How may I help you?"
greetings,greeting,"Greetings! How can I help you today?"
hey bot,greeting,"Hello student! What would you like to know about our college?"
what can you do,greeting,"I can answer questions regarding admissions, courses, fee structures, exams, internships, placements, and campus facilities!"
bye,goodbye,"Goodbye! Have a great day ahead."
see you later,goodbye,"See you! Feel free to reach out if you have more questions."
thanks bye,goodbye,"You are welcome! Have a wonderful day!"
good night,goodbye,"Good night! Best of luck with your studies."
exit,goodbye,"Thank you for chatting. Have a nice day!"
thank you so much,goodbye,"Glad I could help! Let me know if you need anything else later."
how to get admission,admissions,"Admissions are based on academic merit and entrance exam scores. You can apply online via our admissions portal."
what is the admission process,admissions,"The admission process involves online registration, document verification, entrance merit ranking, and fee payment."
when do admissions start,admissions,"Admissions typically open in May every year right after board and competitive exam results are declared."
eligibility criteria for btech,admissions,"For B.Tech, candidates must have passed 10+2 with Physics, Chemistry, and Mathematics with a minimum of 60% aggregate marks."
eligibility for mba,admissions,"Graduation in any discipline with at least 50% marks and a valid CAT/MAT/CMAT score is required for MBA admission."
what documents are required for admission,admissions,"Required documents include 10th & 12th mark sheets, transfer certificate, category certificate (if applicable), entrance scorecard, and passport photos."
can i apply online for admission,admissions,"Yes, you can complete the entire application process online via the admissions page on our college website."
is there an entrance exam for admission,admissions,"Yes, admissions to engineering and management programs require state or national entrance exam scores such as JEE Main or CAT."
what is the last date to apply for admission,admissions,"The deadline for submitting admission applications is July 31st for the upcoming academic session."
is lateral entry available,admissions,"Yes, diploma holders in engineering can apply for direct 2nd-year B.Tech admission under the lateral entry scheme."
how to check my admission status,admissions,"You can check your application status by logging into the student admissions portal with your registered email and application ID."
admission process for international students,admissions,"NRI and international students can apply through the International Students Cell by submitting equivalent qualification credentials."
what is the quota for sports students,admissions,"We reserve 5% of seats under the sports and co-curricular quota for state and national level players."
how to apply for scholarship,admissions,"Merit-cum-means scholarships are available. Applications open in September through the financial aid office."
what courses are offered,courses,"We offer undergraduate, postgraduate, and diploma programs across Engineering, Computer Applications, and Management."
tell me about btech streams,courses,"B.Tech is offered in Computer Science, AI & Machine Learning, Electronics & Communication, Mechanical, and Civil Engineering."
do you have computer science engineering,courses,"Yes, we offer B.Tech in Computer Science & Engineering with specializations in AI, Data Science, and Cyber Security."
what postgraduate courses are available,courses,"Postgraduate programs include M.Tech, MBA, and MCA across various specializations."
are diploma courses available,courses,"Yes, three-year polytechnic diploma courses in Civil, Mechanical, and Electrical engineering are offered."
what is the course duration for btech,courses,"B.Tech is a 4-year undergraduate degree program divided into 8 semesters."
what is the course duration for mba,courses,"MBA is a 2-year full-time postgraduate program split into 4 semesters."
can i switch my branch in second year,courses,"Branch migration is permitted after the 1st year based on academic performance (CGPA > 8.5) and seat availability."
